Frame,MergeStartTime(ms),MergeEndTime(ms),Elapsed(ms)
0,1750234396233.902,1750234396260.636,26.735
1,1750234396408.263,1750234396435.491,27.228
2,1750234397718.106,1750234397745.272,27.167
3,1750234397770.473,1750234397798.337,27.864
4,1750234397819.988,1750234397847.857,27.869
5,1750234397870.435,1750234397897.609,27.174
6,1750234397920.676,1750234397945.360,24.685
7,1750234397972.131,1750234397997.850,25.719
8,1750234398020.179,1750234398046.330,26.151
9,1750234398071.232,1750234398098.302,27.070
10,1750234398121.179,1750234398146.939,25.759
11,1750234398169.944,1750234398199.498,29.553
12,1750234398219.444,1750234398250.705,31.261
13,1750234398270.729,1750234398303.360,32.631
14,1750234398320.659,1750234398346.928,26.269
15,1750234398370.322,1750234398398.057,27.735
16,1750234398420.337,1750234398447.298,26.961
17,1750234398471.186,1750234398498.453,27.267
18,1750234398521.279,1750234398547.336,26.058
19,1750234398571.589,1750234398597.585,25.996
20,1750234398621.001,1750234398647.674,26.673
21,1750234398671.931,1750234398697.774,25.843
22,1750234398721.121,1750234398750.706,29.584
23,1750234398771.026,1750234398798.712,27.686
24,1750234398821.405,1750234398848.423,27.018
25,1750234398871.722,1750234398894.743,23.021
26,1750234398920.645,1750234398950.319,29.675
27,1750234398970.584,1750234398996.142,25.558
28,1750234399022.142,1750234399046.589,24.446
29,1750234399071.749,1750234399097.398,25.650
30,1750234399121.596,1750234399147.679,26.083
31,1750234399171.732,1750234399198.306,26.574
32,1750234399221.175,1750234399247.262,26.088
33,1750234399271.377,1750234399296.443,25.066
34,1750234399322.183,1750234399348.458,26.276
35,1750234399372.459,1750234399398.304,25.845
36,1750234399422.319,1750234399462.154,39.835
37,1750234399487.985,1750234399516.677,28.692
38,1750234399539.046,1750234399564.210,25.164
39,1750234399589.378,1750234399616.892,27.514
40,1750234399638.020,1750234399664.333,26.313
41,1750234399688.956,1750234399716.248,27.292
42,1750234399738.377,1750234399766.771,28.394
43,1750234399788.247,1750234399819.373,31.126
44,1750234399838.095,1750234399865.081,26.986
45,1750234399888.511,1750234399914.602,26.090
46,1750234399937.941,1750234399965.354,27.413
47,1750234399988.050,1750234400014.285,26.234
48,1750234400039.195,1750234400065.509,26.314
49,1750234400088.425,1750234400117.547,29.123
50,1750234400139.045,1750234400168.966,29.921
51,1750234400189.076,1750234400216.833,27.757
52,1750234400238.952,1750234400309.070,70.118
53,1750234400320.900,1750234400353.022,32.122
54,1750234400372.183,1750234400400.294,28.111
55,1750234400422.812,1750234400449.385,26.572
56,1750234400472.417,1750234400502.127,29.710
57,1750234400522.938,1750234400551.007,28.069
58,1750234400573.048,1750234400599.156,26.107
59,1750234400621.657,1750234400652.271,30.614
60,1750234400672.556,1750234400698.544,25.988
61,1750234400723.177,1750234400750.635,27.457
62,1750234400772.976,1750234400803.703,30.727
63,1750234400822.944,1750234400853.385,30.441
64,1750234400872.231,1750234400914.458,42.226
65,1750234400939.531,1750234400969.520,29.989
66,1750234400989.734,1750234401034.715,44.981
67,1750234401056.450,1750234401090.088,33.638
68,1750234401106.356,1750234401137.447,31.091
69,1750234401156.570,1750234401184.886,28.316
70,1750234401207.296,1750234401232.798,25.502
71,1750234401256.156,1750234401282.361,26.205
72,1750234401307.097,1750234401335.317,28.219
73,1750234401356.518,1750234401384.144,27.627
74,1750234401407.202,1750234401436.402,29.200
75,1750234401457.264,1750234401486.551,29.287
76,1750234401508.323,1750234401538.487,30.164
77,1750234401557.308,1750234401586.211,28.903
78,1750234401606.026,1750234401632.883,26.857
79,1750234401657.134,1750234401682.040,24.905
80,1750234401707.144,1750234401732.028,24.884
81,1750234401757.442,1750234401780.035,22.593
82,1750234401790.066,1750234401813.405,23.338
83,1750234401839.958,1750234401865.250,25.293
84,1750234401889.355,1750234401913.665,24.310
85,1750234401940.229,1750234401969.051,28.822
86,1750234401991.176,1750234402015.884,24.708
87,1750234402039.464,1750234402065.260,25.796
88,1750234402090.644,1750234402117.668,27.024
89,1750234402140.452,1750234402171.115,30.663
90,1750234402191.071,1750234402218.551,27.479
91,1750234402239.928,1750234402269.640,29.712
92,1750234402289.894,1750234402316.119,26.225
93,1750234402340.161,1750234402368.419,28.258
94,1750234402390.311,1750234402418.802,28.491
95,1750234402440.854,1750234402481.369,40.515
96,1750234402508.521,1750234402542.037,33.515
97,1750234402556.929,1750234402584.338,27.409
98,1750234402607.862,1750234402635.356,27.493
99,1750234402657.717,1750234402698.632,40.915
100,1750234402723.611,1750234402751.537,27.926
101,1750234402774.410,1750234402800.407,25.996
102,1750234402823.946,1750234402848.969,25.023
103,1750234402874.641,1750234402908.232,33.591
104,1750234402925.247,1750234402950.883,25.635
105,1750234402974.451,1750234402999.838,25.387
106,1750234403025.992,1750234403050.749,24.757
107,1750234403074.733,1750234403100.632,25.899
