Frame,MergeStartTime(ms),MergeEndTime(ms),Elapsed(ms)
0,1750381294057.188,1750381294085.191,28.003
1,1750381294272.630,1750381294299.222,26.592
2,1750381295425.249,1750381295452.544,27.295
3,1750381295473.039,1750381295497.828,24.788
4,1750381295522.980,1750381295548.786,25.806
5,1750381295573.992,1750381295598.186,24.194
6,1750381295622.338,1750381295648.665,26.327
7,1750381295673.246,1750381295697.306,24.060
8,1750381295723.812,1750381295750.388,26.577
9,1750381295773.555,1750381295799.918,26.363
10,1750381295823.234,1750381295852.163,28.929
11,1750381295873.108,1750381295903.062,29.954
12,1750381295924.816,1750381295954.922,30.106
13,1750381295972.575,1750381295998.215,25.640
14,1750381296023.819,1750381296050.422,26.603
15,1750381296073.860,1750381296099.670,25.810
16,1750381296123.655,1750381296149.343,25.688
17,1750381296173.606,1750381296199.281,25.675
18,1750381296224.525,1750381296249.481,24.956
19,1750381296273.349,1750381296299.298,25.949
20,1750381296323.516,1750381296349.377,25.861
21,1750381296373.882,1750381296400.780,26.898
22,1750381296423.961,1750381296446.898,22.937
23,1750381296473.470,1750381296497.672,24.202
24,1750381296524.658,1750381296549.291,24.633
25,1750381296574.387,1750381296597.819,23.433
26,1750381296624.546,1750381296651.519,26.973
27,1750381296673.620,1750381296696.243,22.624
28,1750381296723.418,1750381296748.559,25.141
29,1750381296773.790,1750381296798.546,24.755
30,1750381296824.922,1750381296850.154,25.232
31,1750381296873.918,1750381296899.561,25.643
32,1750381296924.946,1750381296949.384,24.438
33,1750381296973.508,1750381297001.136,27.629
34,1750381297025.560,1750381297050.672,25.112
35,1750381297074.590,1750381297099.326,24.736
36,1750381297124.906,1750381297162.962,38.057
37,1750381297173.223,1750381297200.639,27.416
38,1750381297224.825,1750381297249.189,24.364
39,1750381297274.312,1750381297301.309,26.997
40,1750381297324.926,1750381297351.195,26.269
41,1750381297373.504,1750381297401.987,28.483
42,1750381297424.467,1750381297451.481,27.014
43,1750381297473.404,1750381297504.616,31.212
44,1750381297524.824,1750381297551.486,26.661
45,1750381297574.417,1750381297602.270,27.853
46,1750381297624.920,1750381297653.027,28.107
47,1750381297675.044,1750381297700.062,25.017
48,1750381297725.661,1750381297754.127,28.467
49,1750381297774.801,1750381297801.071,26.270
50,1750381297825.263,1750381297852.961,27.698
51,1750381297875.093,1750381297902.789,27.696
52,1750381297924.919,1750381297990.266,65.347
53,1750381298007.802,1750381298040.562,32.759
54,1750381298058.146,1750381298084.278,26.132
55,1750381298108.655,1750381298135.278,26.624
56,1750381298159.407,1750381298187.803,28.396
57,1750381298208.769,1750381298235.289,26.520
58,1750381298258.374,1750381298284.581,26.206
59,1750381298307.572,1750381298337.091,29.519
60,1750381298358.176,1750381298386.353,28.177
61,1750381298408.134,1750381298439.474,31.340
62,1750381298459.154,1750381298488.665,29.511
63,1750381298508.296,1750381298536.179,27.883
64,1750381298557.559,1750381298598.343,40.784
65,1750381298626.223,1750381298655.182,28.960
66,1750381298675.115,1750381298717.983,42.869
67,1750381298741.458,1750381298775.803,34.345
68,1750381298792.083,1750381298819.899,27.817
69,1750381298842.391,1750381298871.087,28.697
70,1750381298892.790,1750381298918.157,25.367
71,1750381298942.203,1750381298969.547,27.344
72,1750381298993.623,1750381299019.354,25.731
73,1750381299042.538,1750381299072.060,29.522
74,1750381299093.793,1750381299124.979,31.186
75,1750381299142.532,1750381299172.337,29.805
76,1750381299192.362,1750381299224.494,32.132
77,1750381299242.254,1750381299269.967,27.713
78,1750381299293.250,1750381299319.240,25.990
79,1750381299343.053,1750381299370.846,27.794
80,1750381299393.360,1750381299415.531,22.171
81,1750381299443.097,1750381299466.410,23.313
82,1750381299492.765,1750381299517.971,25.206
83,1750381299543.297,1750381299566.743,23.447
84,1750381299576.300,1750381299600.246,23.946
85,1750381299626.874,1750381299650.835,23.962
86,1750381299676.032,1750381299699.728,23.695
87,1750381299726.705,1750381299752.416,25.711
88,1750381299776.830,1750381299802.399,25.569
89,1750381299826.350,1750381299852.904,26.554
90,1750381299876.949,1750381299906.851,29.902
91,1750381299926.232,1750381299956.052,29.820
92,1750381299976.366,1750381300004.504,28.138
93,1750381300027.153,1750381300057.679,30.526
94,1750381300077.930,1750381300105.434,27.503
95,1750381300126.306,1750381300179.232,52.925
96,1750381300193.608,1750381300225.177,31.570
97,1750381300243.530,1750381300270.578,27.048
98,1750381300293.691,1750381300320.954,27.264
99,1750381300343.123,1750381300384.577,41.454
100,1750381300410.492,1750381300438.123,27.630
101,1750381300459.536,1750381300486.503,26.967
102,1750381300510.781,1750381300534.814,24.032
103,1750381300560.732,1750381300586.847,26.115
104,1750381300610.357,1750381300635.273,24.916
105,1750381300660.590,1750381300687.852,27.262
106,1750381300709.803,1750381300737.865,28.061
107,1750381300760.891,1750381300785.797,24.906
108,1750381300810.004,1750381300838.389,28.384
109,1750381300861.227,1750381300887.139,25.912
110,1750381300910.807,1750381300938.350,27.543
111,1750381300964.584,1750381300991.056,26.473
112,1750381301010.937,1750381301036.248,25.311
113,1750381301060.790,1750381301088.163,27.374
114,1750381301109.835,1750381301134.562,24.728
115,1750381301161.498,1750381301188.893,27.394
116,1750381301211.172,1750381301236.597,25.425
117,1750381301260.258,1750381301286.290,26.031
118,1750381301310.335,1750381301335.226,24.891
119,1750381301361.012,1750381301386.011,24.999
120,1750381301410.552,1750381301431.035,20.483
121,1750381301444.150,1750381301460.251,16.102
122,1750381301477.579,1750381301495.462,17.883
123,1750381301510.474,1750381301543.025,32.551
124,1750381301561.408,1750381301579.222,17.813
125,1750381301594.947,1750381301612.245,17.298
126,1750381301627.745,1750381301646.805,19.060
127,1750381301661.497,1750381301679.260,17.764
128,1750381301694.671,1750381301714.775,20.104
129,1750381301727.933,1750381301746.403,18.470
130,1750381301761.606,1750381301781.637,20.030
131,1750381301794.494,1750381301812.014,17.519
132,1750381301827.247,1750381301845.484,18.237
133,1750381301861.150,1750381301878.555,17.406
134,1750381301894.677,1750381301911.506,16.829
135,1750381301927.756,1750381301945.659,17.904
136,1750381301960.169,1750381301979.645,19.475
137,1750381301994.497,1750381302013.765,19.268
138,1750381302027.538,1750381302045.663,18.125
139,1750381302062.245,1750381302083.589,21.344
140,1750381302094.300,1750381302114.727,20.427
141,1750381302127.982,1750381302147.851,19.869
142,1750381302161.052,1750381302180.549,19.497
143,1750381302195.683,1750381302215.800,20.118
144,1750381302229.343,1750381302250.476,21.133
145,1750381302261.524,1750381302281.301,19.777
146,1750381302294.961,1750381302314.803,19.842
147,1750381302328.809,1750381302348.158,19.350
148,1750381302362.166,1750381302381.469,19.303
149,1750381302395.534,1750381302413.852,18.318
150,1750381302428.603,1750381302447.478,18.875
151,1750381302460.512,1750381302481.288,20.776
152,1750381302495.748,1750381302514.323,18.575
153,1750381302528.062,1750381302546.294,18.232
154,1750381302561.600,1750381302581.538,19.938
155,1750381302594.971,1750381302614.055,19.084
156,1750381302629.538,1750381302648.363,18.825
157,1750381302662.702,1750381302682.788,20.086
158,1750381302694.986,1750381302714.861,19.875
159,1750381302728.561,1750381302749.061,20.501
160,1750381302762.060,1750381302779.871,17.811
161,1750381302794.889,1750381302814.993,20.105
162,1750381302827.928,1750381302850.557,22.629
163,1750381302878.828,1750381302896.919,18.091
164,1750381302911.700,1750381302930.003,18.303
165,1750381302945.461,1750381302964.862,19.401
166,1750381302978.917,1750381303015.354,36.437
167,1750381303028.532,1750381303047.591,19.059
168,1750381303062.007,1750381303080.867,18.860
169,1750381303095.152,1750381303114.648,19.495
