Frame,MergeStartTime(ms),MergeEndTime(ms),Elapsed(ms)
1,1750820358555.333,1750820358574.509,19.176
2,1750820358597.166,1750820358612.961,15.795
3,1750820358631.610,1750820358646.989,15.379
4,1750820358663.939,1750820358678.502,14.564
5,1750820358697.388,1750820358708.069,10.681
6,1750820358729.325,1750820358740.783,11.458
7,1750820358764.116,1750820358776.142,12.025
8,1750820358797.354,1750820358808.699,11.345
9,1750820358830.123,1750820358845.256,15.133
10,1750820358863.095,1750820358881.423,18.328
11,1750820358896.896,1750820358911.718,14.821
12,1750820358930.019,1750820358945.679,15.660
13,1750820358963.424,1750820358981.092,17.668
14,1750820358996.096,1750820359013.818,17.722
15,1750820359031.440,1750820359047.166,15.725
16,1750820359063.857,1750820359078.918,15.061
17,1750820359098.190,1750820359113.989,15.799
18,1750820359130.664,1750820359146.800,16.136
19,1750820359163.304,1750820359180.314,17.010
20,1750820359197.174,1750820359212.807,15.633
21,1750820359231.559,1750820359242.808,11.249
22,1750820359263.621,1750820359275.716,12.095
23,1750820359297.105,1750820359309.665,12.560
24,1750820359329.308,1750820359347.257,17.949
25,1750820359363.349,1750820359379.807,16.458
26,1750820359396.670,1750820359412.894,16.224
27,1750820359429.431,1750820359447.140,17.709
28,1750820359462.809,1750820359481.140,18.330
29,1750820359497.504,1750820359513.831,16.327
30,1750820359529.632,1750820359545.325,15.693
31,1750820359564.118,1750820359581.538,17.420
32,1750820359598.031,1750820359617.185,19.154
33,1750820359630.063,1750820359647.598,17.535
34,1750820359664.255,1750820359680.164,15.909
35,1750820359698.930,1750820359713.602,14.672
36,1750820359730.608,1750820359745.584,14.976
37,1750820359764.264,1750820359780.032,15.768
38,1750820359797.107,1750820359812.398,15.292
39,1750820359831.446,1750820359843.803,12.357
40,1750820359864.457,1750820359884.711,20.254
41,1750820359896.929,1750820359918.942,22.013
42,1750820359930.118,1750820359955.030,24.912
43,1750820359981.000,1750820360003.632,22.632
44,1750820360029.895,1750820360051.054,21.159
45,1750820360064.617,1750820360086.131,21.514
46,1750820360097.175,1750820360118.688,21.512
47,1750820360147.981,1750820360168.733,20.752
48,1750820360180.909,1750820360194.998,14.089
49,1750820360213.088,1750820360228.917,15.829
50,1750820360247.790,1750820360264.317,16.527
51,1750820360282.356,1750820360296.618,14.261
52,1750820360314.712,1750820360331.331,16.619
53,1750820360348.334,1750820360364.319,15.984
54,1750820360380.995,1750820360397.735,16.740
55,1750820360415.870,1750820360431.941,16.071
56,1750820360447.759,1750820360463.420,15.661
57,1750820360481.702,1750820360500.072,18.370
58,1750820360515.352,1750820360531.033,15.682
59,1750820360549.138,1750820360564.358,15.221
60,1750820360582.670,1750820360594.521,11.852
61,1750820360615.837,1750820360625.561,9.724
62,1750820360646.810,1750820360657.198,10.387
63,1750820360682.872,1750820360693.794,10.922
64,1750820360714.801,1750820360726.101,11.300
65,1750820360749.810,1750820360760.820,11.010
66,1750820360783.298,1750820360793.645,10.347
67,1750820360815.760,1750820360825.071,9.310
68,1750820360848.880,1750820360860.166,11.286
69,1750820360882.543,1750820360891.965,9.423
70,1750820360916.615,1750820360927.802,11.187
71,1750820360949.497,1750820360960.018,10.521
72,1750820360982.091,1750820360993.143,11.052
73,1750820361015.955,1750820361032.369,16.413
74,1750820361048.927,1750820361066.357,17.430
75,1750820361082.231,1750820361106.334,24.102
76,1750820361116.252,1750820361132.270,16.018
77,1750820361149.816,1750820361167.368,17.552
78,1750820361183.313,1750820361196.025,12.712
79,1750820361215.294,1750820361225.886,10.592
80,1750820361248.327,1750820361257.504,9.177
81,1750820361282.221,1750820361293.422,11.201
82,1750820361316.088,1750820361326.529,10.440
83,1750820361349.115,1750820361359.806,10.691
84,1750820361383.101,1750820361395.534,12.433
85,1750820361415.344,1750820361426.813,11.468
86,1750820361450.585,1750820361461.842,11.257
87,1750820361483.218,1750820361493.238,10.021
88,1750820361516.997,1750820361530.819,13.822
89,1750820361549.507,1750820361564.882,15.375
90,1750820361583.312,1750820361599.355,16.043
91,1750820361616.497,1750820361632.508,16.011
92,1750820361650.336,1750820361663.568,13.231
93,1750820361682.129,1750820361697.959,15.830
94,1750820361715.664,1750820361730.846,15.182
95,1750820361749.790,1750820361765.158,15.368
96,1750820361782.473,1750820361793.149,10.676
97,1750820361816.528,1750820361827.085,10.557
98,1750820361849.447,1750820361861.297,11.850
99,1750820361882.072,1750820361893.775,11.703
100,1750820361916.223,1750820361927.891,11.668
101,1750820361949.737,1750820361960.430,10.694
102,1750820361982.542,1750820361993.863,11.322
103,1750820362016.896,1750820362027.086,10.190
104,1750820362050.732,1750820362060.725,9.993
105,1750820362084.147,1750820362098.658,14.511
106,1750820362116.069,1750820362137.088,21.019
107,1750820362149.437,1750820362165.023,15.586
108,1750820362182.827,1750820362197.244,14.416
109,1750820362216.824,1750820362232.384,15.560
110,1750820362249.928,1750820362263.901,13.973
111,1750820362283.595,1750820362296.168,12.573
112,1750820362317.129,1750820362327.209,10.081
113,1750820362350.667,1750820362362.222,11.555
114,1750820362382.103,1750820362393.266,11.164
115,1750820362416.944,1750820362427.996,11.052
