frame,dataset,grid,tile_count,tiles
0,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
1,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
2,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
3,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
4,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
5,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
6,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
7,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
8,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
9,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
10,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
11,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
12,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
13,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
14,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
15,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
16,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
17,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
18,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
19,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
20,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
21,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
22,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
23,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
24,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
25,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
26,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
27,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
28,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
29,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
30,split_20_to_2_3_2,2_3_2,12,"0,6,1,7,2,8,3,9,4,10,5,11"
