Frame,Start(ms),End(ms),Elapsed(ms)
000,1751260457110.355,1751260457151.170,40.815
001,1751260457151.893,1751260457189.177,37.284
002,1751260457190.392,1751260457229.159,38.767
003,1751260457229.159,1751260457267.874,38.714
004,1751260457268.878,1751260457304.813,35.936
005,1751260457304.813,1751260457343.409,38.595
006,1751260457343.409,1751260457384.288,40.879
007,1751260457384.288,1751260457425.589,41.301
008,1751260457425.589,1751260457462.475,36.886
009,1751260457462.475,1751260457499.302,36.826
010,1751260457499.302,1751260457537.428,38.127
011,1751260457537.428,1751260457578.933,41.505
012,1751260457581.095,1751260457616.705,35.610
013,1751260457616.705,1751260457653.309,36.604
014,1751260457653.309,1751260457693.568,40.260
015,1751260457693.568,1751260457732.879,39.311
016,1751260457732.879,1751260457774.461,41.582
017,1751260457775.512,1751260457813.492,37.980
018,1751260457814.500,1751260457850.413,35.913
019,1751260457850.413,1751260457885.760,35.347
020,1751260457885.760,1751260457926.485,40.725
021,1751260457926.485,1751260457968.154,41.669
022,1751260457968.154,1751260458006.031,37.876
023,1751260458007.027,1751260458045.993,38.966
024,1751260458045.993,1751260458085.866,39.873
025,1751260458086.875,1751260458127.199,40.325
026,1751260458127.199,1751260458177.600,50.400
027,1751260458178.879,1751260458216.738,37.859
028,1751260458218.186,1751260458256.424,38.239
029,1751260458256.424,1751260458296.473,40.049
030,1751260458296.473,1751260458335.077,38.604
031,1751260458335.077,1751260458371.309,36.232
032,1751260458371.309,1751260458412.360,41.051
033,1751260458412.985,1751260458451.887,38.902
034,1751260458451.887,1751260458491.280,39.392
035,1751260458492.621,1751260458530.731,38.109
036,1751260458530.731,1751260458568.126,37.396
037,1751260458568.126,1751260458606.327,38.201
038,1751260458606.327,1751260458643.929,37.602
039,1751260458643.929,1751260458682.078,38.148
040,1751260458682.078,1751260458724.562,42.484
041,1751260458724.562,1751260458762.437,37.875
042,1751260458763.443,1751260458800.952,37.510
043,1751260458800.952,1751260458837.712,36.759
044,1751260458837.712,1751260458877.041,39.329
045,1751260458877.041,1751260458917.553,40.512
046,1751260458917.553,1751260458960.056,42.503
047,1751260458961.223,1751260459005.327,44.104
048,1751260459005.327,1751260459043.173,37.846
049,1751260459043.173,1751260459082.090,38.917
050,1751260459082.619,1751260459120.134,37.514
051,1751260459120.702,1751260459161.758,41.056
052,1751260459161.758,1751260459202.917,41.158
053,1751260459203.916,1751260459252.562,48.646
054,1751260459253.092,1751260459289.334,36.242
055,1751260459290.339,1751260459332.424,42.085
056,1751260459332.424,1751260459371.264,38.840
057,1751260459371.264,1751260459412.282,41.018
058,1751260459413.590,1751260459452.365,38.774
059,1751260459452.365,1751260459488.339,35.975
060,1751260459488.339,1751260459525.461,37.122
061,1751260459526.932,1751260459567.065,40.133
062,1751260459567.065,1751260459611.204,44.139
063,1751260459611.916,1751260459648.901,36.985
064,1751260459648.901,1751260459686.283,37.382
065,1751260459686.283,1751260459723.657,37.374
066,1751260459724.664,1751260459770.027,45.362
067,1751260459770.027,1751260459808.645,38.618
068,1751260459809.186,1751260459848.638,39.452
069,1751260459849.196,1751260459887.470,38.274
070,1751260459888.226,1751260459924.499,36.273
