FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,ViewFrame
0,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
1,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,1
2,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,3
3,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,5
4,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,7
5,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,8
6,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,10
7,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,11
8,226.1445,503.0000,1200.0000,0.0000,180.0000,0.0000,12
9,262.9401,503.0000,1200.0000,0.0000,180.0000,0.0000,14
10,284.7243,503.0000,1199.9070,0.0000,180.2432,0.0000,15
11,307.9328,503.0000,1199.0450,359.7838,182.1284,0.0000,16
12,342.1962,503.0000,1196.6120,359.3513,184.6216,0.0000,18
13,377.5579,503.0000,1192.2780,358.8108,188.2095,0.0000,20
14,395.0890,503.0000,1189.1960,358.7027,189.9730,0.0000,21
15,414.2913,503.0000,1185.4180,358.2703,191.1284,0.0000,22
16,446.9383,503.0000,1178.2250,356.8649,193.1351,0.0000,24
17,479.6308,503.0000,1169.8830,355.0270,194.8378,0.0000,26
18,504.6736,505.5717,1136.9850,353.9460,195.3851,0.0000,28
19,531.4453,508.5926,1101.6960,353.4054,195.4460,0.0000,30
20,556.2781,511.6461,1068.8970,352.9730,195.5068,0.0000,32
21,581.1870,514.7839,1035.9360,352.8649,195.5676,0.0000,34
22,574.3336,517.9805,1011.3360,352.8649,195.5676,0.0000,36
23,535.7207,521.1387,995.9032,352.8649,195.5676,0.0000,38
24,502.6206,521.1387,1005.1430,356.5405,195.5676,0.0000,40
25,470.7324,521.1387,1013.6140,1.7297,194.5946,0.0000,42
26,439.8818,523.3393,1034.7900,9.1892,192.6487,0.0000,44
27,422.4417,526.6387,1054.7890,11.6757,191.9189,0.0000,45
28,407.4279,529.7169,1071.7550,12.7568,191.6149,0.0000,46
29,379.6091,535.6484,1102.6190,13.5135,191.0068,0.0000,48
30,352.9299,541.3580,1131.7500,13.6216,190.5811,0.0000,50
31,323.2527,547.3656,1160.6020,13.6216,185.8378,0.0000,52
32,290.4383,550.4460,1175.8820,13.6216,184.3176,0.0000,54
33,272.8635,550.4460,1177.0960,13.6216,183.9527,0.0000,55
34,255.2105,550.4460,1178.0340,12.0000,183.0405,0.0000,56
35,223.9724,550.4460,1178.7490,6.2703,180.7905,0.0000,58
36,206.1143,550.4460,1178.7490,4.0000,180.0000,0.0000,59
37,182.7181,550.4460,1178.4510,0.7568,179.2703,0.0000,60
38,164.6784,550.4460,1177.9910,357.1892,178.5405,0.0000,61
39,131.9716,550.4460,1176.5710,352.3243,177.2635,0.0000,63
40,99.7564,550.4460,1174.7910,350.2703,176.6554,0.0000,65
41,82.3244,553.0488,1159.6770,349.4054,176.1689,0.0000,66
42,51.9174,557.8105,1133.1310,348.7567,175.8649,0.0000,68
43,20.7925,562.8862,1104.3620,348.7567,173.0676,0.0000,70
44,-6.2187,567.4767,1073.9900,349.8378,167.8987,0.0000,72
45,-33.4574,571.1168,1040.3850,353.0811,165.8311,0.0000,74
46,-49.7023,572.0544,1018.6110,356.7567,164.2500,0.0000,75
47,-66.6084,572.0544,1013.5520,358.8108,163.3378,0.0000,76
48,-83.5007,572.0544,1008.3190,0.3243,162.7905,0.0000,77
49,-114.2903,572.0544,998.3660,3.1351,161.8784,0.0000,79
50,-154.3542,573.8859,1012.2420,4.2162,161.5743,0.0000,81
