FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,ViewFrame
0,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
1,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
2,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
3,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
4,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
5,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
6,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
7,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
8,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
9,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
10,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
11,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
12,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
13,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
14,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
15,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
16,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
17,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
18,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
19,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
20,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
21,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
22,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
23,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
24,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
25,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
26,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
27,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
28,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
29,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
30,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
31,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
32,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
33,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
34,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
35,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
36,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
37,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
38,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
39,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
40,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
41,204.0000,503.0000,1200.0000,0.0000,180.0000,0.0000,0
42,193.0784,503.0000,1200.0000,0.0000,180.0000,0.0000,0
43,175.6476,503.0000,1200.0000,0.0000,180.0000,0.0000,0
44,157.7440,503.0000,1200.0000,0.0000,180.0000,0.0000,0
45,140.1684,503.0000,1200.0000,0.0000,180.0000,0.0000,0
46,122.5011,503.0000,1200.0000,0.0000,180.0000,0.0000,0
47,105.0290,503.0000,1200.0000,0.0000,180.0000,0.0000,0
48,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
49,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
50,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
51,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
52,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
53,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
54,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
55,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
56,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
57,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
58,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
59,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
60,93.4613,503.0000,1200.0000,0.0000,180.0000,0.0000,0
61,93.4613,503.0000,1193.6580,0.0000,180.0000,0.0000,0
62,93.4613,503.0000,1180.0590,0.0000,180.0000,0.0000,0
63,93.4613,503.0000,1166.2720,0.0000,180.0000,0.0000,0
64,93.4613,503.0000,1152.6460,0.0000,180.0000,0.0000,0
65,93.4613,503.0000,1138.8780,0.0000,180.0000,0.0000,0
66,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
67,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
68,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
69,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
70,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
71,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
72,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
73,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
74,93.4613,503.0000,1136.3280,0.0000,180.0000,0.0000,0
75,80.7750,503.0000,1136.3280,0.0000,180.0000,0.0000,0
76,63.1202,503.0000,1136.3280,0.0000,180.0000,0.0000,0
77,45.4685,503.0000,1136.3280,0.0000,180.0000,0.0000,0
78,27.8208,503.0000,1136.3280,0.0000,180.0000,0.0000,0
79,9.9063,503.0000,1136.3280,0.0000,180.0000,0.0000,0
80,-7.5283,503.0000,1136.3280,0.0000,180.0000,0.0000,0
81,-24.9296,503.0000,1136.3280,0.0000,180.0000,0.0000,0
82,-42.7540,503.0000,1136.1030,0.1758,177.8571,0.0000,0
83,-60.4415,503.0000,1134.8350,0.1759,173.6735,0.0000,0
84,-78.1777,503.0000,1131.0850,0.1758,163.5714,0.0000,0
85,-95.0233,503.0000,1125.3310,0.1759,158.7755,0.0000,0
86,-111.0321,503.0000,1118.6470,0.1758,156.3265,0.0000,0
87,-127.1495,503.0000,1111.2200,0.1759,154.4898,0.0000,0
88,-145.9824,503.0000,1101.7700,0.1759,152.7551,0.0000,0
89,-161.5215,503.0000,1093.5230,0.1758,151.4286,0.0000,0
90,-177.0421,503.0000,1084.9030,0.1758,150.3061,0.0000,0
91,-192.3461,503.0000,1076.0320,0.1758,149.4898,0.0000,0
92,-208.0313,503.0000,1066.5290,0.1758,148.1633,0.0000,0
93,-224.5108,503.0000,1056.2620,0.1758,148.0612,0.0000,0
94,-239.7842,503.0000,1046.7410,0.1758,148.0612,0.0000,0
95,-255.0068,503.0000,1037.2510,0.1758,148.0612,0.0000,0
96,-270.1857,503.0000,1027.7890,0.1758,148.0612,0.0000,0
97,-284.9907,503.0000,1018.5600,0.1758,148.0612,0.0000,0
98,-300.1497,503.0000,1009.1100,0.1758,148.0612,0.0000,0
99,-314.8685,503.0000,999.9343,0.1758,148.0612,0.0000,0
100,-329.7625,503.0000,990.6497,0.1758,148.0612,0.0000,0
101,-346.6757,503.0000,980.1063,0.1758,148.0612,0.0000,0
102,-361.5343,503.0000,970.8438,0.1758,148.0612,0.0000,0
103,-376.3430,503.0000,961.6124,0.1758,148.0612,0.0000,0
104,-391.3496,503.0000,952.2575,0.1758,148.0612,0.0000,0
105,-406.1841,503.0000,943.0098,0.1758,148.0612,0.0000,0
106,-421.3534,503.0000,933.5534,0.1759,148.0612,0.0000,0
107,-436.2691,503.0000,924.2552,0.1759,148.0612,0.0000,0
108,-451.4044,503.0000,914.8201,0.1759,148.0612,0.0000,0
109,-466.4710,503.0000,905.4150,0.1758,147.6531,0.0000,0
110,-481.6548,503.0000,895.3132,0.1758,145.0000,0.0000,0
111,-496.0576,503.0000,884.4044,0.1759,141.4286,0.0000,0
112,-509.7524,503.0000,872.8196,0.1759,138.5714,0.0000,0
113,-522.7136,503.0000,861.0071,0.1759,136.6326,0.0000,0
114,-535.2457,503.0000,848.7043,0.1758,134.7959,0.0000,0
115,-547.3459,503.0000,836.1249,0.1759,133.3673,0.0000,0
116,-559.5400,503.0000,822.8886,0.1759,132.0408,0.0000,0
117,-571.2834,503.0000,809.6823,0.1759,131.1224,0.0000,0
118,-582.6530,503.0000,796.2685,0.1759,129.6939,0.0000,0
119,-593.5412,503.0000,782.6868,0.1759,128.1633,0.0000,0
120,-604.7336,503.0000,768.1569,0.1759,127.0408,0.0000,0
121,-615.1703,503.0000,754.0130,0.1759,126.0204,0.0000,0
122,-625.5499,503.0000,739.5281,0.1759,125.4082,0.0000,0
123,-636.6094,503.0000,723.7655,0.1759,124.7959,0.0000,0
124,-646.4406,503.0000,709.3608,0.1759,123.8775,0.0000,0
125,-656.1791,503.0000,694.6526,0.1758,123.2653,0.0000,0
126,-665.8378,503.0000,679.4506,0.1758,121.5306,0.0000,0
127,-674.8024,503.0000,664.2278,0.1758,119.5918,0.0000,0
128,-682.8698,503.0000,648.6385,0.1759,114.5918,0.0000,0
129,-689.0103,503.0000,632.4343,0.1759,108.4694,0.0000,0
130,-694.3649,503.0000,615.3320,0.1759,107.1429,0.0000,0
131,-699.6472,503.0000,598.1183,0.1758,107.0408,0.0000,0
132,-704.8882,503.0000,581.0191,0.1758,107.0408,0.0000,0
133,-710.1249,503.0000,563.9340,0.1758,107.0408,0.0000,0
134,-715.3646,503.0000,546.8397,0.1758,107.0408,0.0000,0
135,-720.6406,503.0000,529.6263,0.1758,107.0408,0.0000,0
136,-725.7485,503.0000,512.9615,0.1758,107.0408,0.0000,0
137,-730.9338,503.0000,496.0445,0.1758,107.0408,0.0000,0
138,-736.0359,503.0000,479.3985,0.1758,107.0408,0.0000,0
139,-741.2623,503.0000,462.3470,0.1758,107.0408,0.0000,0
140,-746.5175,503.0000,445.2014,0.1758,107.0408,0.0000,0
141,-751.6365,503.0000,428.5005,0.1758,107.0408,0.0000,0
142,-756.9061,503.0000,411.3085,0.1758,107.0408,0.0000,0
143,-762.1502,503.0000,394.1994,0.1758,107.0408,0.0000,0
144,-767.3434,503.0000,377.2570,0.1758,107.0408,0.0000,0
145,-772.8766,503.0000,359.2046,0.1759,107.0408,0.0000,0
146,-777.9951,503.0000,342.5056,0.1759,107.0408,0.0000,0
147,-783.1656,503.0000,325.0576,0.1758,105.1020,0.0000,0
148,-787.2666,503.0000,307.6142,0.1759,100.5102,0.0000,0
149,-789.6130,503.0000,290.1084,0.1759,95.5102,0.0000,0
