Frame,DownloadedTime(ms),RenderedTime(ms),RenderDelay(ms),FrameInterval(ms)
0,398.027,441.287,43.259,0.000
1,440.831,496.359,55.528,55.072
2,495.711,540.802,45.091,44.443
3,540.341,590.181,49.840,49.379
4,589.732,640.436,50.704,50.255
5,640.002,685.525,45.524,45.089
6,685.066,731.016,45.950,45.491
7,730.555,792.485,61.930,61.469
8,762.487,832.756,70.268,40.270
9,791.981,872.520,80.539,39.764
10,832.267,915.654,83.386,43.134
11,872.051,959.574,87.523,43.920
12,915.135,1008.475,93.340,48.901
13,958.799,1070.990,112.191,62.515
14,1007.921,1102.512,94.591,31.522
15,1061.563,1158.614,97.051,56.102
16,1102.036,1209.326,107.290,50.712
17,1157.911,1260.303,102.392,50.977
18,1208.644,1308.463,99.818,48.159
19,1259.687,1360.065,100.378,51.603
20,1307.943,1406.850,98.907,46.784
21,1359.605,1457.527,97.922,50.677
22,1406.367,1496.262,89.896,38.736
23,1456.927,1540.646,83.719,44.383
24,1495.796,1592.392,96.596,51.746
25,1540.147,1640.869,100.722,48.477
26,1591.947,1694.249,102.302,53.380
27,1640.333,1752.101,111.768,57.852
28,1693.687,1826.596,132.909,74.495
29,1751.487,1879.181,127.694,52.585
30,1825.981,1924.854,98.874,45.673
31,1878.726,1978.822,100.096,53.967
32,1924.381,2025.510,101.129,46.689
33,1978.272,2075.314,97.042,49.803
34,2025.020,2124.490,99.470,49.176
35,2074.851,2176.633,101.782,52.143
36,2123.875,2224.881,101.006,48.248
37,2176.047,2276.434,100.388,51.553
38,2224.297,2326.372,102.075,49.938
39,2275.958,2376.414,100.456,50.042
40,2325.833,2425.861,100.027,49.447
41,2375.841,2476.510,100.669,50.650
42,2425.363,2529.619,104.256,53.109
43,2475.941,2584.298,108.357,54.679
44,2525.829,2626.169,100.340,41.871
45,2583.768,2675.949,92.181,49.780
46,2625.678,2725.902,100.224,49.953
47,2675.432,2775.345,99.912,49.442
48,2725.342,2826.337,100.995,50.992
49,2847.921,2877.153,29.232,50.816
